floor_idx,point_idx,x_mm,y_mm,r_mm,t_mm
4.0,10.0,323.5482177734375,55.962093353271484,0.0,0.0
4.0,11.0,349.48846435546875,55.893375396728516,0.0,0.0
4.0,12.0,375.3628234863281,55.23501205444336,0.0,0.0
4.0,13.0,399.9339294433594,61.02410125732422,0.0,0.0
4.0,14.0,425.73553466796875,61.19004440307617,0.0,0.0
4.0,15.0,454.9812316894531,41.836341857910156,0.0,0.0
4.0,16.0,481.46240234375,11.629176139831543,0.0,0.0
4.0,17.0,509.14129638671875,5.524061679840088,0.0,0.0
4.0,18.0,544.73681640625,0.0,0.0,0.0
4.0,19.0,572.368408203125,0.0,0.0,0.0
4.0,20.0,600.0,0.0,0.0,0.0
5.0,1.0,93.75,0.0,0.0,0.0
5.0,2.0,120.39473724365234,0.0,0.0,0.0
5.0,3.0,147.0394744873047,0.0,0.0,0.0
5.0,4.0,185.43069458007812,3.9989895820617676,0.0,0.0
5.0,5.0,212.90931701660156,8.01667308807373,0.0,0.0
5.0,6.0,244.5675048828125,52.108001708984375,0.0,0.0
5.0,7.0,263.4217529296875,64.56327819824219,0.0,0.0
5.0,8.0,285.77691650390625,63.195308685302734,0.0,0.0
5.0,9.0,310.0716247558594,56.52589416503906,0.0,0.0
5.0,10.0,334.0805358886719,56.19249725341797,0.0,0.0
5.0,11.0,359.2292175292969,56.0721435546875,0.0,0.0
5.0,12.0,384.3975524902344,55.62092971801758,0.0,0.0
5.0,13.0,408.35321044921875,61.334251403808594,0.0,0.0
5.0,14.0,434.1537170410156,61.172271728515625,0.0,0.0
5.0,15.0,460.801513671875,42.073299407958984,0.0,0.0
5.0,16.0,486.3123474121094,11.911234855651855,0.0,0.0
5.0,17.0,513.011962890625,5.756347179412842,0.0,0.0
5.0,18.0,546.7105102539062,0.0,0.0,0.0
5.0,19.0,573.3552856445312,0.0,0.0,0.0
5.0,20.0,600.0,0.0,0.0,0.0
6.0,1.0,112.5,0.0,0.0,0.0
6.0,2.0,138.15789794921875,0.0,0.0,0.0
6.0,3.0,163.8157958984375,0.0,0.0,0.0
6.0,4.0,200.27557373046875,4.174030780792236,0.0,0.0
6.0,5.0,226.51284790039062,8.729829788208008,0.0,0.0
6.0,6.0,256.3791809082031,50.582763671875,0.0,0.0
6.0,7.0,275.9835510253906,64.38609313964844,0.0,0.0
6.0,8.0,297.5377197265625,63.17794418334961,0.0,0.0
6.0,9.0,321.15484619140625,56.821990966796875,0.0,0.0
6.0,10.0,344.8470458984375,56.441375732421875,0.0,0.0
6.0,11.0,368.8780517578125,56.24026870727539,0.0,0.0
6.0,12.0,393.03765869140625,55.93132781982422,0.0,0.0
6.0,13.0,416.19091796875,61.51163864135742,0.0,0.0
6.0,14.0,441.0638122558594,61.26120376586914,0.0,0.0
6.0,15.0,466.49334716796875,42.31416320800781,0.0,0.0
6.0,16.0,491.03271484375,12.192083358764648,0.0,0.0
6.0,17.0,516.623046875,5.95328426361084,0.0,0.0
6.0,18.0,548.6842041015625,0.0,0.0,0.0
6.0,19.0,574.3421020507812,0.0,0.0,0.0
6.0,20.0,600.0,0.0,0.0,0.0
7.0,1.0,131.25,0.0,0.0,0.0
7.0,2.0,155.92105102539062,0.0,0.0,0.0
7.0,3.0,180.59210205078125,0.0,0.0,0.0
7.0,4.0,215.4654998779297,5.0030364990234375,0.0,0.0
7.0,5.0,241.104248046875,10.61007022857666,0.0,0.0
7.0,6.0,268.4372253417969,49.12691879272461,0.0,0.0
7.0,7.0,287.71966552734375,63.92087936401367,0.0,0.0
7.0,8.0,308.0018005371094,63.735069274902344,0.0,0.0
7.0,9.0,330.6631774902344,57.401676177978516,0.0,0.0
7.0,10.0,353.76666259765625,56.63148498535156,0.0,0.0
7.0,11.0,377.11328125,56.440269470214844,0.0,0.0
7.0,12.0,400.5417785644531,56.236724853515625,0.0,0.0
7.0,13.0,423.0684814453125,61.81034851074219,0.0,0.0
7.0,14.0,446.791015625,61.31308364868164,0.0,0.0
7.0,15.0,471.139892578125,42.649871826171875,0.0,0.0
7.0,16.0,495.109375,12.544864654541016,0.0,0.0
7.0,17.0,519.7797241210938,6.491464614868164,0.0,0.0
7.0,18.0,550.6578979492188,0.0,0.0,0.0
7.0,19.0,575.3289184570312,0.0,0.0,0.0
7.0,20.0,600.0,0.0,0.0,0.0
8.0,1.0,150.0,0.0,0.0,0.0
8.0,2.0,173.6842041015625,0.0,0.0,0.0
8.0,3.0,197.36842346191406,0.0,0.0,0.0
8.0,4.0,234.08847045898438,6.84520959854126,0.0,0.0
8.0,5.0,258.088134765625,10.378341674804688,0.0,0.0
8.0,6.0,285.0107116699219,50.31291580200195,0.0,0.0
8.0,7.0,300.77685546875,66.00091552734375,0.0,0.0
8.0,8.0,317.9553527832031,62.344886779785156,0.0,0.0
8.0,9.0,339.2668151855469,55.74457931518555,0.0,0.0
8.0,10.0,361.351318359375,55.3114128112793,0.0,0.0
8.0,11.0,383.4978332519531,55.0577392578125,0.0,0.0
8.0,12.0,405.72601318359375,54.83348846435547,0.0,0.0
8.0,13.0,427.23895263671875,60.63578414916992,0.0,0.0
8.0,14.0,452.0898742675781,60.8874397277832,0.0,0.0
8.0,15.0,474.84197998046875,41.386680603027344,0.0,0.0
